Run,Iteration,Objective Value,tiempo_it_seg
0,0,-74.25879324484522,6.778
0,1,-75.42192253626963,2.739
0,2,-81.58417274196326,2.776
0,3,-81.58417274196326,4.537
0,4,-81.58417274196326,2.803
0,5,-81.58417274196326,2.789
0,6,-82.75763840918864,2.735
0,7,-82.75763840918864,4.0
0,8,-82.75763840918864,3.324
0,9,-83.23568854390017,2.77
0,10,-83.99066600015736,2.802
0,11,-83.99066600015736,3.152
0,12,-83.99066600015736,4.131
0,13,-83.99066600015736,2.821
0,14,-83.99436066114062,2.849
0,15,-83.99436066114062,2.791
0,16,-83.99436066114062,4.581
0,17,-83.99436066114062,2.771
0,18,-83.99436066114062,2.796
0,19,-83.99436066114062,2.773
0,20,-83.99839142368248,3.987
0,21,-83.99839142368248,3.377
1,0,-76.16905012992194,6.65
1,1,-76.16905012992194,4.539
1,2,-77.95677468943171,2.88
1,3,-77.95677468943171,2.806
1,4,-79.35094823873112,2.784
1,5,-81.13265938135886,3.724
1,6,-81.13265938135886,3.62
1,7,-82.66637910085494,2.796
1,8,-82.66637910085494,3.192
1,9,-82.66637910085494,3.432
1,10,-82.66637910085494,4.06
1,11,-82.66637910085494,2.757
1,12,-82.66637910085494,2.78
1,13,-82.98448493715959,2.875
1,14,-83.646664561916,4.539
1,15,-83.646664561916,2.773
1,16,-83.646664561916,2.753
1,17,-83.646664561916,2.746
1,18,-83.646664561916,4.044
1,19,-83.646664561916,3.397
1,20,-83.646664561916,2.782
1,21,-83.89401376770981,2.761
1,22,-83.89401376770981,3.196
1,23,-83.89401376770981,4.117
1,24,-83.89401376770981,2.771
1,25,-83.89401376770981,2.753
2,0,-77.83104383545816,7.311
2,1,-77.83104383545816,2.752
2,2,-77.83104383545816,2.736
2,3,-81.52330209707291,2.749
2,4,-82.32458504838355,4.125
2,5,-82.32458504838355,3.147
2,6,-82.32458504838355,2.742
2,7,-82.32458504838355,2.742
2,8,-82.32458504838355,3.172
2,9,-82.80661963243367,4.11
2,10,-84.10328769703584,2.807
2,11,-84.10328769703584,2.749
2,12,-85.15639760049237,2.778
2,13,-85.22325436870483,4.555
2,14,-85.39011874339901,3.18
2,15,-85.39011874339901,2.762
2,16,-86.20679115449815,2.764
2,17,-86.20679115449815,4.179
2,18,-86.76018256754485,3.118
2,19,-86.76018256754485,2.798
2,20,-87.06507418432544,2.803
2,21,-87.15287684407899,3.356
2,22,-87.15287684407899,3.939
2,23,-87.19772046150281,2.725
2,24,-87.38376248676946,2.765
2,25,-87.38376248676946,2.727
2,26,-87.38376248676946,4.565
2,27,-87.57522329198206,2.764
2,28,-87.58461524238017,2.756
2,29,-87.58461524238017,3.256
2,30,-87.58461524238017,4.33
2,31,-87.58461524238017,2.956
2,32,-87.58461524238017,2.78
2,33,-87.58461524238017,2.751
2,34,-87.58461524238017,3.407
3,0,-75.08571326512588,6.161
3,1,-80.42051256837968,2.773
3,2,-80.42051256837968,3.035
3,3,-81.03342835287715,4.378
3,4,-82.9769748757878,2.783
3,5,-82.9769748757878,2.827
3,6,-85.07374842860285,2.771
3,7,-85.07374842860285,4.561
3,8,-85.18531276543037,2.763
3,9,-85.18531276543037,2.768
3,10,-86.44675813856165,2.734
3,11,-86.44675813856165,3.624
3,12,-86.44675813856165,3.725
3,13,-86.44675813856165,2.762
3,14,-86.44675813856165,2.784
3,15,-86.44675813856165,2.755
3,16,-86.76563557064588,4.554
3,17,-86.86762425526263,2.721
3,18,-87.23055186926148,2.762
3,19,-87.23055186926148,2.724
3,20,-87.23055186926148,4.09
3,21,-87.23055186926148,3.17
3,22,-87.76923449329432,2.735
3,23,-87.76923449329432,2.738
3,24,-87.76923449329432,3.18
3,25,-87.76923449329432,4.085
3,26,-87.76923449329432,2.725
3,27,-87.76923449329432,2.74
3,28,-87.76923449329432,2.732
3,29,-87.76923449329432,4.498
3,30,-87.76923449329432,2.752
3,31,-87.76923449329432,2.792
3,32,-87.81395992362889,2.747
3,33,-87.81395992362889,3.726
3,34,-87.81395992362889,3.557
4,0,-76.69721941084896,5.447
4,1,-78.12936167676692,3.154
4,2,-78.12936167676692,4.164
4,3,-80.89159033754838,2.832
4,4,-82.16379335192534,2.801
4,5,-82.16379335192534,2.783
4,6,-82.16379335192534,4.529
4,7,-82.87579395968648,2.825
4,8,-82.9887997793868,2.813
4,9,-82.9887997793868,2.792
4,10,-83.18505084950124,4.071
4,11,-83.42825349749396,3.317
4,12,-83.58439665270082,2.758
4,13,-83.58439665270082,2.832
4,14,-83.83261321130166,3.358
4,15,-83.83261321130166,4.099
4,16,-83.83261321130166,2.814
4,17,-83.84072206277779,2.783
4,18,-83.84072206277779,2.803
4,19,-83.88657998475402,4.634
5,0,-79.5102717037343,5.459
5,1,-79.5102717037343,4.139
5,2,-81.74162914811899,3.206
5,3,-82.26676239889393,2.757
5,4,-82.26676239889393,2.74
5,5,-83.43070824791116,3.165
5,6,-84.2523782528217,4.131
5,7,-86.94474037847473,2.751
5,8,-86.94474037847473,2.759
5,9,-86.94474037847473,2.785
5,10,-86.94474037847473,4.662
5,11,-86.94474037847473,2.859
5,12,-86.94474037847473,2.811
5,13,-86.94474037847473,2.803
5,14,-86.94474037847473,4.021
5,15,-86.94474037847473,3.433
5,16,-86.94474037847473,2.798
5,17,-86.94474037847473,2.764
5,18,-86.94474037847473,3.181
5,19,-86.94474037847473,4.223
5,20,-86.94474037847473,2.814
5,21,-86.94474037847473,2.77
5,22,-86.94474037847473,2.758
5,23,-86.94474037847473,4.566
5,24,-86.94474037847473,2.727
5,25,-87.07644754275182,2.79
5,26,-87.07644754275182,2.821
5,27,-87.54909183406475,3.956
5,28,-87.54909183406475,3.424
5,29,-87.54909183406475,2.871
5,30,-87.54909183406475,2.856
5,31,-87.54909183406475,3.341
5,32,-87.54909183406475,4.068
5,33,-87.54909183406475,2.798
5,34,-87.62196799349427,2.774
5,35,-87.62196799349427,2.789
5,36,-87.62196799349427,4.542
5,37,-87.62196799349427,2.798
5,38,-87.62196799349427,2.881
5,39,-87.62196799349427,2.8
6,0,-78.13413563935983,7.312
6,1,-78.13413563935983,2.812
6,2,-78.57225434902523,2.766
6,3,-80.17314084475608,3.785
6,4,-80.17812295024284,3.608
6,5,-81.9257054293386,2.837
6,6,-82.21559193646148,2.875
6,7,-82.21559193646148,3.261
6,8,-82.21559193646148,4.219
6,9,-82.22958385288698,2.803
6,10,-82.24747713182578,2.769
6,11,-83.14000495435863,2.781
6,12,-83.44090929414646,4.57
6,13,-83.56856533223382,2.781
6,14,-83.56856533223382,2.75
6,15,-83.56856533223382,2.863
6,16,-83.92546767073797,3.988
6,17,-83.92546767073797,3.414
6,18,-83.92546767073797,2.771
6,19,-83.92546767073797,2.762
6,20,-83.92546767073797,3.037
7,0,-77.33607387505619,6.573
7,1,-79.4508764552489,2.765
7,2,-81.73354404874239,2.783
7,3,-84.37944083554449,4.596
7,4,-84.37944083554449,2.783
7,5,-84.37944083554449,2.783
7,6,-85.0955619709949,2.795
7,7,-85.47439492663904,4.138
7,8,-85.47439492663904,3.192
7,9,-85.47439492663904,2.825
7,10,-85.47439492663904,2.773
7,11,-85.768240264056,3.355
7,12,-86.38993227138572,4.084
7,13,-86.38993227138572,2.783
7,14,-86.38993227138572,2.786
7,15,-86.67638122413581,2.797
7,16,-86.67638122413581,4.572
7,17,-86.67638122413581,2.827
7,18,-86.69861009404576,2.816
7,19,-86.69861009404576,2.767
7,20,-86.69861009404576,4.246
7,21,-86.69861009404576,3.143
7,22,-87.29234709613985,2.836
7,23,-87.29234709613985,2.797
7,24,-87.29234709613985,3.588
7,25,-87.29234709613985,3.794
7,26,-87.29234709613985,2.799
7,27,-87.52771319679357,2.759
7,28,-87.52771319679357,2.765
7,29,-87.52771319679357,4.534
7,30,-87.52771319679357,2.794
8,0,-77.28312723753095,5.556
8,1,-80.91667033870421,4.56
8,2,-81.41698109948764,2.765
8,3,-82.25272920461343,2.759
8,4,-82.25272920461343,2.781
8,5,-82.25272920461343,3.783
8,6,-82.25272920461343,3.526
8,7,-83.15995960245918,2.777
8,8,-83.15995960245918,2.776
8,9,-83.15995960245918,3.056
8,10,-83.19572847568703,4.408
8,11,-83.19572847568703,2.793
8,12,-83.82625852982626,2.8
8,13,-83.82625852982626,2.747
8,14,-83.82625852982626,4.599
8,15,-83.86928165766253,2.768
9,0,-75.93450313577898,6.599
9,1,-75.93450313577898,3.606
9,2,-77.08384137795429,2.791
9,3,-78.61616104046108,2.814
9,4,-78.61616104046108,2.938
9,5,-81.49351055890654,4.431
9,6,-81.49351055890654,2.786
9,7,-82.98701390694173,2.752
9,8,-82.98701390694173,2.789
9,9,-83.04781014602693,4.596
9,10,-85.65682536303834,2.901
9,11,-86.06111527788147,2.826
9,12,-86.06111527788147,2.811
9,13,-86.06111527788147,3.801
9,14,-86.06111527788147,3.546
9,15,-86.06111527788147,2.834
9,16,-86.26039482947478,2.83
9,17,-86.44833579802467,3.062
9,18,-86.76153421710778,4.345
9,19,-86.76153421710778,2.799
9,20,-87.17985640007109,2.782
9,21,-87.17985640007109,2.805
9,22,-87.17985640007109,4.642
9,23,-87.17985640007109,2.77
9,24,-87.17985640007109,2.768
9,25,-87.38925220012085,2.779
9,26,-87.38925220012085,3.83
9,27,-87.4350071204615,3.535
9,28,-87.46686329682092,2.824
9,29,-87.46686329682092,2.794
9,30,-87.46686329682092,3.136
9,31,-87.46686329682092,4.235
9,32,-87.60631617762323,2.821
9,33,-87.64080192831098,2.793
10,0,-73.3049983501406,7.365
10,1,-79.99826327591377,2.819
10,2,-80.99546385042561,2.813
10,3,-80.99546385042561,2.736
10,4,-80.99546385042561,4.27
10,5,-80.99546385042561,3.043
10,6,-80.99546385042561,2.765
10,7,-81.41450326198093,2.772
10,8,-82.73602663879483,3.475
10,9,-82.73602663879483,3.889
10,10,-83.72269198971054,2.792
10,11,-83.72269198971054,2.788
10,12,-83.72269198971054,2.827
10,13,-83.72269198971054,4.55
10,14,-83.72269198971054,2.796
10,15,-83.72269198971054,2.809
10,16,-83.72269198971054,2.79
10,17,-83.72269198971054,4.303
10,18,-83.72269198971054,3.098
10,19,-83.73182206887122,2.785
10,20,-83.86376631071448,2.809
10,21,-84.14525271662316,3.586
10,22,-84.14525271662316,3.778
10,23,-84.14525271662316,2.772
10,24,-84.14525271662316,2.779
10,25,-84.14525271662316,2.803
10,26,-84.14525271662316,4.551
11,0,-79.34654996413225,5.545
11,1,-79.34654996413225,3.651
11,2,-79.34654996413225,3.753
11,3,-80.76503175833122,2.772
11,4,-80.76503175833122,2.803
11,5,-80.76503175833122,2.843
11,6,-81.27220493519978,4.544
11,7,-81.27220493519978,2.778
11,8,-82.40660729499609,2.755
11,9,-82.95692876261985,2.801
11,10,-83.20653556488055,4.419
11,11,-83.20653556488055,2.962
11,12,-83.46735815783086,2.783
11,13,-83.46735815783086,2.762
11,14,-83.46735815783086,3.647
11,15,-83.46735815783086,3.662
11,16,-83.52049678011805,2.77
11,17,-83.52049678011805,2.78
11,18,-83.523040712802,2.732
11,19,-83.84392903039051,4.535
11,20,-83.84392903039051,2.79
12,0,-75.42911939511723,7.336
12,1,-79.58995702166956,2.775
12,2,-83.95055921519274,2.754
12,3,-83.95055921519274,2.743
12,4,-83.95055921519274,3.638
12,5,-83.95055921519274,3.67
12,6,-83.95055921519274,2.792
12,7,-83.95055921519274,2.805
12,8,-83.95055921519274,2.904
12,9,-83.95055921519274,4.406
12,10,-83.95055921519274,2.76
12,11,-84.78562871165146,2.745
12,12,-85.48765241752477,2.739
12,13,-85.48765241752477,4.377
12,14,-85.48765241752477,2.892
12,15,-85.48765241752477,2.799
12,16,-85.48765241752477,2.757
12,17,-86.35576927100554,3.652
12,18,-86.515309410526,3.699
12,19,-86.69777639077051,2.762
12,20,-86.69777639077051,2.752
12,21,-86.94662922322014,2.757
12,22,-87.13457779123537,4.533
12,23,-87.13457779123537,2.769
12,24,-87.18766842371224,2.773
12,25,-87.18766842371224,2.765
12,26,-87.2891021141347,4.188
12,27,-87.4827492218856,3.082
12,28,-87.4827492218856,2.764
12,29,-87.4827492218856,2.789
13,0,-82.35151366900033,7.271
13,1,-82.40658068845488,2.755
13,2,-82.40658068845488,2.748
13,3,-82.40658068845488,2.871
13,4,-82.40658068845488,4.585
13,5,-82.40658068845488,2.775
13,6,-82.40658068845488,2.793
13,7,-82.84281454318705,2.747
13,8,-82.95173550767875,4.366
13,9,-83.12376122586404,2.897
13,10,-83.35904184647208,2.766
13,11,-83.60851824774328,2.724
13,12,-83.60851824774328,3.488
13,13,-83.62536224039917,3.873
13,14,-83.62536224039917,2.821
13,15,-83.84220980307805,2.783
13,16,-83.84220980307805,2.747
13,17,-83.84220980307805,4.561
13,18,-83.9456789750013,2.768
13,19,-83.9456789750013,2.77
13,20,-83.94991449065913,2.76
14,0,-76.35155571741922,5.544
14,1,-76.75350045234444,2.725
14,2,-78.59937254924411,3.444
14,3,-79.9847465083691,3.799
14,4,-80.93242503815001,2.735
14,5,-81.02212997609386,2.706
14,6,-82.98026085733319,2.746
14,7,-84.33095526592184,4.493
14,8,-84.71536805326743,2.766
14,9,-84.71536805326743,2.725
14,10,-84.71536805326743,2.758
14,11,-85.05662713598258,3.852
14,12,-85.05662713598258,3.347
14,13,-85.73600631773326,2.716
14,14,-85.966527604103,2.735
14,15,-86.83834415772563,2.82
14,16,-86.83834415772563,4.374
14,17,-87.09401642931185,2.703
14,18,-87.09401642931185,2.727
14,19,-87.09401642931185,2.745
14,20,-87.09401642931185,4.309
14,21,-87.12960287370043,2.957
14,22,-87.30132952559988,2.807
14,23,-87.3971502481181,2.733
14,24,-87.3971502481181,3.382
14,25,-87.42857260650722,3.825
14,26,-87.42857260650722,2.687
14,27,-87.4525411259615,2.72
14,28,-87.46909808493052,2.703
14,29,-87.46909808493052,4.518
14,30,-87.50050515250537,2.7
